"https://www.youtube.com/watch?v=qRFEJ1ch1qU", LessonFirst
"https://www.youtube.com/watch?v=OWhECnRfUt0", объектно-ориентированное программирование: виртуальные методы, урок 7!
"https://www.youtube.com/watch?v=OhUZoru7f8o", объектно-ориентированное программирование: таблицы виртуальных методов, урок 6!
"https://www.youtube.com/watch?v=cTsxOvOvk4k", объектно-ориентированное программирование: Простое наследование, урок 5!
"https://www.youtube.com/watch?v=asVr53fsQXg", объектно-ориентированное программирование: Конструкторы, деструкторы, урок 4!
"https://www.youtube.com/watch?v=E50gIB4zWng", объектно-ориентированное программирование: Инкапсуляция, урок 3!
"https://www.youtube.com/watch?v=2Skh7FgpkWI", объектно-ориентированное программирование: композиция, урок 2!
"https://www.youtube.com/watch?v=aDRsvwsMaLM", Объектно-ориентированное программирование: понятие класса и объекта, урок 1!
"https://www.youtube.com/watch?v=VntjuQ2o-RM", php web: smtp, email, работа с почтой урок 7!
"https://www.youtube.com/watch?v=qcr16qJNbPo", php web: суперглобальный массив Server, урок 6!
"https://www.youtube.com/watch?v=kQCqzUJP76Q", php web: суперглобальный массив Request урок 5!
